ref,split
CHAS252005,val
P43251731,val
GNRE252376,val
SEF255252,val
IACH246334,val
GAT226357,val
JSPP255650,val
LEG253153,val
CLRP210156,val
PSN252953,val
RRT254215,val
KNP253393,val
GRM254405,val
PGP205420,val
PGP250800,val
GAT230394,val
RRT238936,val
SMY253477,val
KHA250732,val
DTP205612,val
RWS254676,val
CRO210060,val
BRE196324,val
RWS226343,val
SMTP244459,val
TSK252826,val
JSPP229958,val
LEG241639,val
MAC254478,val
PRCL241077,val
BLS253559,val
RRT250538,test
RWS246739,test
RRT254999,test
MAC234366,test
MRNP252453,test
ft254831,test
BNJR251229,test
SEF214647,test
PRN242284,test
RIDDL248369,test
SMTP244013,test
PNT255395,test
CHAS244913,test
ACH245978,test
PLZP255486,test
GAT255553,test
CAC251863,test
RHR244500,test
LEG255201,test
BRE186065,test
PGP244849,test
RWS255499,test
TWP253607,test
RWS243259,test
GLRE249250,test
LVP174713,test
SMY242485,test
GAT222175,test
PGP244307,test
BNJR250219,test
NPRE246097,test
PPK209286,test
MTFP244444,test
KNP130922,test
RWS234321,test
GAT255245,test
GRM242175,test
RWS234944,test
RWS248279,test
WDB255333,test
CHAS254037,test
BLS253146,test
OHRE252459,test
SMY244623,test
RRT252645,test
HMN229439,test
PNT253569,test
RWS250823,test
PGP245277,test
XDS255241,test
HEE255044,test
FAC254734,test
TEH241335,test
TEH243670,test
GAT231646,test
PSP254412,test
CAC254449,test
PRCL228934,test
RWE253756,test
Dem1,test
HOS240312,test
OHRE243494,test
GBY252889,test
PLZP252069,test
RIDDL253528,test
TSK248969,test
PRCL242188,test
GAT243977,test
SEF252550,test
TEH249213,test
PGP243191,test
LEG253283,test
CAC253067,test
BAS026,test
LEG222587,test
MALB350,test
MAC252905,test
KHA246669,test
PRCL251740,test
BLS253869,test
